"geschaeft_uid","geschaeft_nr","geschaeft_titel_deutsch","geschaeft_titel_franz","geschaeft_typ_deutsch","geschaeft_typ_franz","geschaeft_vorstoss_nummer","geschaeft_federfuehrung_name_deutsch","geschaeft_federfuehrung_name_franz","geschaeft_federfuehrung_kuerzel_deutsch","geschaeft_federfuehrung_kuerzel_franz","geschaeft_vorberatende_kommission_uid","geschaeft_vorberatende_kommission_deutsch","geschaeft_vorberatende_kommission_franz","geschaeft_vorstoss_hauptvorstoesser_uid","geschaeft_vorstoss_hauptvorstoesser_vorname","geschaeft_vorstoss_hauptvorstoesser_name","geschaeft_vorstoss_mitvorstoesser_namen_liste","geschaeft_vorstoss_weitere_mitunterzeichner_anzahl","geschaeft_vorstoss_kommission_uid","geschaeft_vorstoss_kommission_name_deutsch","geschaeft_vorstoss_kommission_name_franz","geschaeft_vorstoss_fraktion_name_deutsch","geschaeft_vorstoss_fraktion_name_franz","geschaeft_vorstoss_eingereicht_datum","geschaeft_vorstoss_zurueckgezogen_datum","geschaeft_vorstoss_dringlichkeit_beantragt","geschaeft_vorstoss_dringlichkeit_gewaehrt","geschaeft_vorstoss_zurueckweisung_datum","geschaeft_referendumsart_deutsch","geschaeft_referendumsart_franz","geschaeft_letzte_behandlung_datum","geschaeft_letzte_behandlung_uhrzeit","geschaeft_beschluss_deutsch","geschaeft_beschluss_franz","geschaeft_beschlussdetail_deutsch","geschaeft_beschlussdetail_franz","Übersicht vom"
"91ee08abf6b849c883fe092343ea7c6c","2023.RRGR.209","Integration für Flüchtlinge fordern, fördern und ermöglichen – so früh wie möglich!","Revendiquons, encourageons et favorisons au plus vite l’intégration des personnes réfugiées !","Motion","Motion","159-2023","GSI Gesundheits-, Sozial- und Integrationsdirektion","DSSI Direction de la santé, des affaires sociales et de l’intégration","GSI","DSSI","","","","b714c5d71c864e218118ad2eedb5da57","Philippe","Messerli","Hanspeter Steiner;Marianne Schild;Samantha Dunning;Elisabeth Dubler","0","","","","","","2023-06-15","","N","","","","","2023-12-05","17.00–19.00","Annahme als Postulat","Adoption sous forme de postulat","","","2025-05-16 13:00"
"744ead7f064d4325a269cf909bc72dce","2024.RRGR.42","Chance auf Berufsbildung für alle Jugendlichen, unabhängig vom Aufenthaltsstatus","Donner à l`ensemble des jeunes une chance d`acquérir une formation professionnelle, quel que soit leur statut de séjour","Motion","Motion","022-2024","BKD Bildungs- und Kulturdirektion","INC Direction de l’instruction publique et de la culture","BKD","INC","","","","b7b669f1a35342289c7eaadb05026501","Karin","Berger-Sturm","Michael Ritter;Seraina Patzen;Hannes Zaugg-Graf;Maya Weber Hadorn;Hanspeter Steiner;Simone Leuenberger","0","","","","","","2024-03-04","","J","J","","","","2024-06-11","13.30–16.30","Punktweise beschlossen","Vote point par point","Ziffer 1: Annahme als Postulat (75 Ja, 69 Nein, 3 Enthaltungen)Ziffer 2: Annahme als Postulat (100 Ja, 48 Nein, 0 Enthaltungen)Ziffer 2: Annahme der Abschreibung (78 Ja, 69 Nein, 0 Enthaltungen)","Chiffre 1 : adoption sous forme de postulat (75 oui, 69 non, 3 abstentions)Chiffre 2 : adoption sous forme de postulat (100 noui, 48 non, 0 abstentions)Chiffre 2 : adoption du classement (78 oui, 69 non, 0 abstentions)","2025-05-16 13:00"
"e7b4acfa95204555afc1ae58371a6187","2016.RRGR.299","Angliederung der Wirtschaftsmittelschule Biel an die Berufsfachschule","Rattachement de l`Ecole supérieure de commerce de Bienne à l`école professionnelle","Postulat","Postulat","074-2016","BKD Bildungs- und Kulturdirektion","INC Direction de l’instruction publique et de la culture","BKD","INC","","","","3e4146d9cf6a44fc819d0469eb0b8ff3","Nathan","Güntensperger","Christian Bachmann;Mathias Müller;Pierre-Yves Grivel","0","","","","","","2016-03-16","2016-11-10","N","","","","","2016-11-22","09.00-11.45","Zurückgezogen","Retrait","","","2025-05-16 13:00"
"60d315629e7540e2a70fd76c73a45b51","2015.RRGR.249","Konsequentes Eingreifen der Polizei verbessert die Sicherheit der Bevölkerung","Sécurité de la population: la police doit pouvoir faire son travail","Motion","Motion","071-2015","SID Sicherheitsdirektion","DSE Direction de la sécurité","SID","DSE","","","","ee7f87a3561741459a7880ac7baed30a","Sabina","Geissbühler-Strupler","Thomas Fuchs;Mathias Müller","0","","","","","","2015-03-09","","J","N","","","","2015-09-09","09.00-11.45","Annahme und gleichzeitige Abschreibung","Adoption et classement","","","2025-05-16 13:00"
"4566664f590742d787c11fe1a8bd2ea5","2014.RRGR.1203","Zweckentfremdete Verwendung der Gelder aus dem Lastenausgleich durch die Gemeinden","Allocation des fonds de la compensation des charges dans les communes","Motion","Motion","264-2014","GSI Gesundheits-, Sozial- und Integrationsdirektion","DSSI Direction de la santé, des affaires sociales et de l’intégration","GSI","DSSI","","","","d19954ac4dda4bd181687aac78e67bdc","Mathias","Müller","Pierre-Yves Grivel","26","","","","","","2014-11-24","","J","J","","","","2015-03-18","13.30-16.30","Annahme","Adoption","","","2025-05-16 13:00"
"65db033c3da44e5bb7297d6d4b022b68","2014.RRGR.1172","Cannabispräventionskampagne als wichtiger Beitrag zur Gesundheitsförderung","Campagne de prévention contre la consommation de cannabis: un bon moyen de promotion de la santé","Motion","Motion","250-2014","GSI Gesundheits-, Sozial- und Integrationsdirektion","DSSI Direction de la santé, des affaires sociales et de l’intégration","GSI","DSSI","","","","ee7f87a3561741459a7880ac7baed30a","Sabina","Geissbühler-Strupler","Thomas Fuchs;Mathias Müller","13","","","","","","2014-11-20","","N","","","","","2015-06-09","13.30-16.30","Ablehnung","Rejet","","","2025-05-16 13:00"
"df751cc054e34c13a46d15fdf0434921","2016.RRGR.569","Salzhandel ist keine Staatsaufgabe: Salzregal abschaffen","Abolition de la régale du sel","Motion","Motion","111-2016","FIN Finanzdirektion","FIN Direction des finances","FIN","FIN","","","","13224e26872d4b9fa81c3fd3d0c6354f","Michael","Köpfli","Adrian Haas;Patric Bhend;Mathias Müller;Ruedi Löffel-Wenger;Daniel Beutler","9","","","","","","2016-06-01","","N","","","","","2017-01-24","09.00-11.45","Ablehnung","Rejet","","","2025-05-16 13:00"
"2849ba4db68c49c2881cc04efff1664b","2018.RRGR.737","Sichere Kommunikation und Datenaustausch","Sécurité de la communication et échange des données","Motion","Motion","277-2018","FIN Finanzdirektion","FIN Direction des finances","FIN","FIN","","","","feed51cd852b452d820c5c50003e72df","Thomas","Gerber","Ulrich Egger;Mathias Müller;Christa Ammann","14","","","","","","2018-11-28","","N","","","","","2019-09-10","13.30–16.30","Punktweise beschlossen","Vote point par point","Ziffer 1:	Annahme und gleichzeitige Abschreibung (150 Ja, 0 Nein, 0 Enthaltungen)Ziffer 2:	Annahme als Postulat (151 Ja, 1 Nein, 0 Enthaltungen)Ziffer 3:	Annahme (77 Ja, 75 Nein, 0 Enthaltungen)Ziffer 4:	Annahme (151 Ja, 0 Nein, 0 Enthaltungen)Ziffer 4:	Annahme Abschreibung (97 Ja, 55 Nein, 0 Enthaltungen)","Chiffre 1 : adoption et classement (150 Oui, 0 Non, 0 Abstentions)Chiffre 2 : adoption sous forme de postulat (151 Oui, 1 Non, 0 Abstentions)Chiffre 3 : adoption (77 Oui, 75 Non, 0 Abstentions)Chiffre 4 : adoption (151 Oui, 0 Non, 0 Abstentions)","2025-05-16 13:00"
"e0f330a6beea4b3686bd3345e0bd7c6c","2018.RRGR.746","Nicht noch mehr Arbeitslosengelder für Grenzgänger","Encore plus d`indemnités de chômage pour les frontaliers ? Non !","Motion","Motion","286-2018","WEU Wirtschafts-, Energie- und Umweltdirektion","DEEE Direction de l’économie, de l’énergie et de l’environnement","WEU","DEEE","","","","d19954ac4dda4bd181687aac78e67bdc","Mathias","Müller","Samuel Leuenberger;Patrick Freudiger","2","","","","","","2018-11-28","","N","","","","","2019-09-03","13.30–16.30","Ablehnung","Rejet","","","2025-05-16 13:00"
"e474e55011a04b67b11ca75103db65cc","2020.RRGR.65","Upgrade für das grossrätliche Interessenbindungsregister","Version améliorée du registre des indications fournies par les membres du Grand Conseil","Motion","Motion","044-2020","GR Grosser Rat","GC Grand Conseil","GR","GC","","","","0e0d61d4a8f04eaea30c71d0adef50e9","Casimir","von Arx","Natalie Imboden;Samuel Kullmann;Mohamed Hamdaoui;Ursula Zybach;Mathias Müller;Jan Gnägi;Barbara Streit-Stettler","0","","","","","","2020-03-05","","N","","","","","2020-12-03","13.30–16.00","Punktweise beschlossen","Vote point par point","Ziffer 1: Annahme (103 Ja, 28 Nein, 2 Enthaltungen)Ziffer 2: Annahme als Postulat (124 Ja, 10 Nein, 1 Enthaltungen)Ziffer 3: Annahme als Postulat (123 Ja, 6 Nein, 3 Enthaltungen)Ziffer 4: Annahme (95 Ja, 36 Nein, 1 Enthaltungen)","Chiffre 1 : adoption (103 Oui, 28 Non, 2 Abstentions)Chiffre 2 : adoption sous forme de postulat (124 Oui, 10 Non, 1 Abstentions)Chiffre 3 : adoption sous forme de postulat (123 Oui, 6 Non, 3 Abstentions)Chiffre 4 : adoption (95 Oui, 36 Non, 1 Abstentions)","2025-05-16 13:00"
